run_id,ticker,strategy_id,block_label,lookback_days,cadence_run,share_count,max_concurrent,data_source,fill_model,data_window_start,data_window_end,cadence_leg,chain_id,chain_position,is_initial_entry,leg_index_in_chain,entry_date,spot_at_entry,strike,expiry_date,dte_at_entry,distance_pct_otm,mid_entry,premium_collected_per_contract,iv_at_entry,delta_at_entry,ann_yield_pct,regime_at_entry,close_date,buyback_mid,expiry_close,outcome,exit_type,days_held,pnl_dollar,pnl_per_share,is_winning,capped_upside_dollar,is_assignment_severe
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,regime_gated,30c64aa2016a,1,FALSE,1,2023-01-27,405.68,418.00,2023-03-03,35,3.037,3.4450,344.50,15.15,0.2995,8.86,UNKNOWN,2023-02-10,3.0700,,rolled_at_21_dte,early,14,37.50,0.3750,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,unconditional,b51b54bdbcfc,2,FALSE,2,2023-02-10,408.04,421.00,2023-03-17,35,3.176,4.1200,412.00,17.10,0.3152,10.53,UNKNOWN,2023-02-21,0.9450,,closed_early_50pct,early,11,317.50,3.1750,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,regime_gated,30c64aa2016a,2,FALSE,2,2023-02-10,408.04,421.00,2023-03-17,35,3.176,4.1200,412.00,17.10,0.3152,10.53,UNKNOWN,2023-02-21,0.9450,,closed_early_50pct,early,11,317.50,3.1750,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,unconditional,6abbdbe2053a,0,TRUE,0,2023-02-23,400.66,413.00,2023-03-31,36,3.080,3.7750,377.50,15.15,0.3019,9.55,SELL PREMIUM,2023-03-01,1.7450,,closed_early_50pct,early,6,203.00,2.0300,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,regime_gated,46dc4ee87d3b,0,TRUE,0,2023-02-23,400.66,413.00,2023-03-31,36,3.080,3.7750,377.50,15.15,0.3019,9.55,SELL PREMIUM,2023-03-01,1.7450,,closed_early_50pct,early,6,203.00,2.0300,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,unconditional,c4f3e19ed566,0,TRUE,0,2023-03-02,397.81,409.00,2023-04-06,35,2.813,3.8200,382.00,15.15,0.3175,10.01,HOLD,2023-03-10,1.0050,,closed_early_50pct,early,8,281.50,2.8150,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,unconditional,3e72a48f832c,0,TRUE,0,2023-03-16,396.11,408.00,2023-04-21,36,3.002,4.1050,410.50,16.12,0.3193,10.51,AVOID,2023-03-31,7.8350,,rolled_at_21_dte,early,15,-373.00,-3.7300,FALSE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,unconditional,3e72a48f832c,1,FALSE,1,2023-03-31,409.39,422.00,2023-05-05,35,3.080,3.6800,368.00,15.15,0.2999,9.37,UNKNOWN,2023-04-12,1.5800,,closed_early_50pct,early,12,210.00,2.1000,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,regime_gated,f794ac6ac756,0,TRUE,0,2023-04-06,409.19,421.00,2023-05-12,36,2.886,3.7600,376.00,15.15,0.3177,9.32,SELL PREMIUM,2023-04-21,2.1050,,rolled_at_21_dte,early,15,165.50,1.6550,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,unconditional,5f093253ec8b,0,TRUE,0,2023-04-14,412.46,423.00,2023-05-19,35,2.555,3.5250,352.50,13.20,0.3143,8.91,SELL PREMIUM,2023-04-25,1.0250,,closed_early_50pct,early,11,250.00,2.5000,TRUE,0.00,FALSE
